url,Value,Contact_value,Address_value,Number,Description,Website,email
http://haldwanicity.com/ca-haldwani.php?cat=Chartered%20Accountants,"Achal Srivastava & Co.","CA. Sanjay Kumar Gupta","Ist Floor Sunlight Complex Near Khatu Shyam Mandir Talli Bamouri, Haldwani","05946-220424, 9760037812",NULL,NULL,NULL
http://haldwanicity.com/ca-haldwani.php?cat=Chartered%20Accountants,"C. P. Dasila & Associates","CA Chandra Pratap Dasila","IInd Floor, Durga City Centre Haldwani",09897102075,NULL,NULL,NULL
http://haldwanicity.com/ca-haldwani.php?cat=Chartered%20Accountants,"DIGVIJAY SINGH & COMPANY","CA. Digvijay Singh","Nawabi Road Opposite Girl Degree College Haldwani",8449113357,NULL,NULL,NULL
http://haldwanicity.com/ca-haldwani.php?cat=Chartered%20Accountants,"Kumar Arvind & Co.","CA. Arvind Saxena","A-1, Astha Vihar, Near Panchakki.",05946-222363,NULL,NULL,NULL
http://haldwanicity.com/ca-haldwani.php?cat=Chartered%20Accountants,"Manoj Vatsal & Co.","CA. Manoj Joshi","Hall 1/D, 2nd floor, Durga City Centre",05946-228558,NULL,NULL,NULL
http://haldwanicity.com/ca-haldwani.php?cat=Chartered%20Accountants,"Mukesh Goel & Co.","CA. Mukesh Goel","Jhurmut, Polysheet, Kathgodam",05946-283200,NULL,NULL,NULL
http://haldwanicity.com/ca-haldwani.php?cat=Chartered%20Accountants,"Mukesh Usha & Associates","CA. Mukesh Kumar","Sankalp, A-16, Ganga Enclave, Nawabi Road","05946-224588 , 327160",NULL,NULL,NULL
http://haldwanicity.com/ca-haldwani.php?cat=Chartered%20Accountants,"P. Kacker & Associates","CA. Prashant Kacker","Durga City Centre, Nainital Road",09927087079,NULL,NULL,NULL
http://haldwanicity.com/ca-haldwani.php?cat=Chartered%20Accountants,"Vijay K. Bansal & Associates","CA. Vijay Kumar Bansal","1st floor, Jagnath Complex, Nainital Road","05946-324722 , 280483",NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?cat=Government%20Office,"Adhikshak Kendra & Seema, Shulk",NULL,"Nainital Road",05946-267015,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?cat=Government%20Office,"Army Cantt",NULL,"Aero Drum Road, Tikonia","05946-221522,222043",NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?cat=Government%20Office,"Astt. Commissioner",NULL,Haldwani,"05946-281440,280000",NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?cat=Government%20Office,"Astt. Commissioner Central Excise",NULL,Haldwani,"05946-226047,222015",NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?cat=Government%20Office,"B.D.O. Haldwani",NULL,Haldwani,05946-261064,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?cat=Government%20Office,"Bal Vikas Pariyojna Adhikari Office",NULL,"Uchapul, Kaladhungi Road",05946-264081,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?cat=Government%20Office,"Bharat Parishad, Jila Karyayal",NULL,"Vishunu Parizaat Civil Lines",NULL,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?cat=Government%20Office,"Block Development Officer",NULL,Haldwani,05946-261064,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?cat=Government%20Office,"BSNL Exchange",NULL,"Avas Vikas, Behind Sourav Hotel","05946-221607, 197",NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?cat=Government%20Office,"City Magistrate",NULL,"Nainital road",05946-221565,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?page=2&cat=Government%20Office&subcat=,"D. M.",NULL,haldwani,05946-220120,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?page=2&cat=Government%20Office&subcat=,"Darul Amanat Vikas Samiti",NULL,"Baitush Shifa Qidwai Nager, Haldwani, Haldwani","05946-254554, +(91)-9690165982",NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?page=2&cat=Government%20Office&subcat=,"District Probation Officer",NULL,Haldwani,"05946-255465, 255077",NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?page=2&cat=Government%20Office&subcat=,"District Tuberculosis Officer",NULL,"Govt. TB Hospital",05946-254232,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?page=2&cat=Government%20Office&subcat=,"Divsional Manager, N.E. Railway",NULL,"Izzat Nagar, Haldwani",05946-266637,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?page=2&cat=Government%20Office&subcat=,"Dream India Welfare Society",NULL,"Vill- Ummadpur No.2, Post Office- Chorgalia, Haldwani Uttranchal","05946-243391, +(91)-9456776656",NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?page=2&cat=Government%20Office&subcat=,"E.E. Electricity Board",NULL,"Sheesh Mahal, Nainital Road kathgodam",05946-220172,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?page=2&cat=Government%20Office&subcat=,"EE store Division",NULL,kathgodam,05946-266354,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?page=2&cat=Government%20Office&subcat=,"Electricity Distribution Division (Town)",NULL,"Kaladhungi chowraha Haldwani",05946-220172,NULL,NULL,NULL
http://haldwanicity.com/administration-haldwani.php?page=2&cat=Government%20Office&subcat=,"Employees Provident Fund Organisation",NULL,"2nd Floor, Khurana Complex, Opposite Judges Court, Nainital Road, Haldwani Ho, Haldwani - 263139","5946-220762, 282208",NULL,NULL,NULL
